,id,sku,short_description,price,list_price,price_usd,discount,discount_rate,review_count,order_count,inventory_status,is_visible,stock_item_qty,stock_item_max_sale_qty,product_name,brand_id,brand_name,quantity_sold,rating_average,category_type,category_id
87,190861588.0,5049939410467.0,"Công thức dinh dưỡng B.I.G (Brain function, immunity support, growth) với nguồn sữa tinh khiết chuẩn Châu Âu - không biến đổi gen và không chứa dư lượng kháng sinh giúp trẻ phát triển...",749000.0,778000.0,,29000.0,4.0,40.0,,available,,1000.0,1000.0,,148685.0,Nutren,324.0,5.0,do-choi-me-be,2549
88,199903945.0,5270934258123.0,"TẤM LÓT SUNMATE CẢI TIẾN MỚI Sản phẩm tấm lót SunMate dành cho cả nam và nữ, phù hợp với người hạn chế khả năng đi lại. Hạt gel tác động kép siêu thấm hút và kháng khuẩn hiệu quả cùng lớp dẫn thấm th...",95000.0,133100.0,,38100.0,29.0,66.0,,available,,1000.0,1000.0,,48647.0,SunMate,1764.0,5.0,do-choi-me-be,2549
89,20088699.0,7168718447944.0,"Dầu dưỡng ẩm mát xa Johnson's Baby (200ml) giúp máu lưu thông tốt, ăn ngon miệng và ít táo bón, thúc đẩy sự hoàn thiện hệ thống miễn dịch giúp trẻ phòng chống bệnh tậtMát-xa làm cho các cơ săn chắc, h...",75000.0,100000.0,,25000.0,25.0,304.0,,available,,1000.0,1000.0,,41660.0,Johnson's Baby,24502.0,5.0,do-choi-me-be,2549
90,252608900.0,5629263718507.0,MÔ TẢ SẢN PHẨMXuất sứ: Việt Nam - Sản phẩm được sản xuất tại Việt Nam bởi Công ty TNHH Kimberly-Clark Việt Nam.HSD: 3 năm từ ngày SX.1. Tinh chất TRÀM TRÀ TỰ NHIÊN trên bề mặt tã giúp ngăn vi...,309000.0,473130.0,,164130.0,35.0,16.0,,available,,1000.0,1000.0,,26702.0,Huggies,2752.0,5.0,do-choi-me-be,2549
91,75765262.0,7075207477323.0,"Đây là thuốc diệt chuộc đa liều, Chuột ăn thuốc và chết sau 1 -3 ngày.Sau khi ăn thuốc, chuột không có biểu hiện gì, chúng và đồng loại vẫn tiếp tục ăn mà không đề phòng.Sau 1-3 ngày chúng sẽ chết. Vì...",63000.0,72000.0,,9000.0,13.0,389.0,,available,,1000.0,1000.0,,111461.0,OEM,2449.0,4.5,do-choi-me-be,2549
92,205290063.0,1644705400197.0,"Muối rửa bát Finish 4.0 kgKhi sở hữu một chiếc máy rửa bát, chắc hẳn bạn cũng biết muối rửa bát finish là chất phụ gia bắt buộc phải sử dụng để đảm bảo máy luôn hoạt động tốt. Khách hàng nào cũng muố...",137724.0,137724.0,,0.0,0.0,0.0,,available,,1000.0,1000.0,,459929.0,finish,2.0,0.0,do-choi-me-be,2549
93,43191091.0,3907956387070.0,"Thùng 48 Hộp Sữa Anlene Đậm Đặc 4X Ít Béo Hương Vani (12 x 4 x 125 ml) cung cấp các dưỡng chất như: chất đạm sữa chất lượng cao, có chứa các acid amin thiết yếu, các khoáng chất như Canxi, Phốt Pho, M...",509000.0,552000.0,,43000.0,8.0,150.0,,available,,1000.0,1000.0,,52347.0,Anlene,1720.0,5.0,do-choi-me-be,2549
94,208441975.0,6927358768516.0,- VÌ SAO BẠN SẼ THÍCH? TINH CHẤT THIÊN NHIÊN SẠCH DỊU CHO CHÉN DĨA BÉ YÊUMẹ có thể yên tâm rằng mọi món ăn tuyệt ngon và dinh dưỡng mà mẹ chuẩn bị cho bé với chén dĩa được làm sạch nhờ nước rửa chén...,106000.0,114000.0,,8000.0,7.0,18.0,,available,,1000.0,1000.0,,45757.0,Sunlight,219.0,4.7,do-choi-me-be,2549
95,252608893.0,1611129882741.0,MÔ TẢ SẢN PHẨMXuất sứ: Việt Nam - Sản phẩm được sản xuất tại Việt Nam bởi Công ty TNHH Kimberly-Clark Việt Nam.HSD: 3 năm từ ngày SX.1. Tinh chất TRÀM TRÀ TỰ NHIÊN trên bề mặt tã giúp ngăn vi...,309000.0,473130.0,,164130.0,35.0,16.0,,available,,1000.0,1000.0,,26702.0,Huggies,2603.0,5.0,do-choi-me-be,2549
96,10054452.0,1066540392745.0,Với thiết kế nhỏ gọn tiện lợi Thùng 48 hộp sữa uống dinh dưỡng Friso Gold vani hộp 110ml luôn là sự lựa chọn tinh tế nhất. Là sản phẩm của Friso Gold với nguồn sữa dưỡng chất hoàn toàn từ thiên nhiên...,447000.0,505000.0,,58000.0,11.0,335.0,,available,,1000.0,1000.0,,32539.0,Friso,2779.0,4.7,do-choi-me-be,2549
